ts,nr_dirty,nr_writeback,pgpgin,pgscan_kswapd
0,1,0,311965,0
1,1,0,345961,0
2,1,0,345961,0
3,1,0,345961,0
4,1,0,345965,0
5,1,0,345965,0
6,1,0,345969,0
7,1,0,345969,0
8,1,0,345969,0
9,1,0,345969,0
10,1,0,345969,0
11,9,0,345969,0
12,9,0,345969,0
13,9,0,345969,0
14,9,0,345969,0
15,9,0,345969,0
16,9,0,345969,0
17,9,0,345969,0
18,9,0,345969,0
19,9,0,345969,0
20,9,0,345969,0
21,9,0,345969,0
22,9,0,345969,0
23,9,0,345969,0
24,9,0,345969,0
25,9,0,345969,0
26,9,0,345969,0
27,9,0,345969,0
28,9,0,345969,0
29,1,0,345969,0
30,1,0,345969,0
31,1,0,345985,0
32,1,0,345985,0
33,1,0,345985,0
34,1,0,345985,0
35,1,0,345985,0
36,1,0,345985,0
37,1,0,345985,0
38,1,0,345985,0
39,1,0,345985,0
40,1,0,345985,0
41,1,0,345985,0
42,1,0,345985,0
43,10,0,356357,0
44,9,0,356357,0
45,11,0,356357,0
46,11,0,356357,0
47,11,0,356357,0
48,11,0,356357,0
49,11,0,356357,0
50,11,0,356357,0
51,11,0,356357,0
52,11,0,356357,0
53,11,0,356357,0
54,11,0,356357,0
55,11,0,356357,0
56,11,0,356357,0
57,11,0,356357,0
58,11,0,356357,0
59,11,0,356357,0
60,11,0,356357,0
